Site Ref,Site,Type,Start Window,End Window,Assigned To,Incident Status,Inspection Done,Inspected By,OID
"GB-LCL-A0289","[GB-LCL-A0289] Waltham Forest: 65-113 Crownfield Rd / ACE0189352 / E15 2BG","SRD",,,"phil.grenham,darren.gibson","Temp Clear","07/05/2026 12:40:00","phil.grenham",6499525
"GB-LCL-A0981","[GB-LCL-A0981] Waltham Forest: Dawlish Road / ACE0493117 / E10 6QW","SRD",,,"phil.grenham","Temp Clear","07/05/2026 11:00:00","phil.grenham",6499530
"GB-LCL-A0292","[GB-LCL-A0292] Waltham Forest: 97 Nottingham Rd / Leyton / E10 6EP / ACE0189315","SRD",,,"phil.grenham,darren.gibson","Temp Clear","07/05/2026 10:40:00","darren.gibson",6499526
"GB-LCL-A0483","[GB-LCL-A0483] Waltham Forest: 97 Nottingham Rd / ACE0197216 / E10 6EP","SRD",,,"phil.grenham","Temp Clear","07/05/2026 10:40:00","phil.grenham",6499527
"GB-LCL-A0499","[GB-LCL-A0499] Ealing: 9 Princes Gardens / ACE0422408 / W3 0LX","SLO","08/04/2026 00:00:00","29/04/2026 00:00:00","mukesh.kerai","In Progress",,,6450826
"GB-LCL-A0596","[GB-LCL-A0596] Ealing: Bridge Avenue / ACE0422363 / W7 3DJ","SPD","07/05/2026 00:00:00","28/05/2026 00:00:00",,"Submitted",,,6910734
"GB-LCL-A0840","[GB-LCL-A0840] Ealing: 22 Fowlers Walk / ACE0422828 / W5 1BD","SPD","07/05/2026 00:00:00","28/05/2026 00:00:00",,"Submitted",,,6910733
"GB-LCL-A2776","[GB-LCL-A2776] Newham: 3-9 Brydges Road / 24480154 / E15 1NA","SPD","07/05/2026 00:00:00","28/05/2026 00:00:00",,"Submitted",,,6910732
"GB-LCL-A2879","[GB-LCL-A2879] Ealing: The Farmlands / 24450370 / UB5 5EY","SPD","07/05/2026 00:00:00","28/05/2026 00:00:00",,"Submitted",,,6910736
"GB-LCL-A0481","[GB-LCL-A0481] Waltham Forest: 1 Clyde Place / ACE0197276 / E10 5AS","SPO","15/04/2026 00:00:00","06/05/2026 00:00:00",,"Submitted",,,6563498
"GB-LCL-A0293","[GB-LCL-A0293] Waltham Forest: 1 Clyde Place / ACE0189317 / E10 5AS","SPO","15/04/2026 00:00:00","06/05/2026 00:00:00",,"Submitted",,,6563499
"GB-LCL-A0291","[GB-LCL-A0291] Waltham Forest: 61 Carnarvon Road / ACE0189356 / E10 6DL","SPO","15/04/2026 00:00:00","06/05/2026 00:00:00",,"Submitted",,,6563500
"GB-LCL-A0482","[GB-LCL-A0482] Waltham Forest: 61 Carnarvon Rd / ACE0197293 / E10 6DL","SPO","15/04/2026 00:00:00","06/05/2026 00:00:00",,"Submitted",,,6563501
"GB-LCL-A1199","[GB-LCL-A1199] Redbridge: Eton Road / ACE0493460 / IG1 2UE","SPO","15/04/2026 00:00:00","06/05/2026 00:00:00",,"Submitted",,,6563502
"GB-LCL-A0357","[GB-LCL-A0357] Waltham Forest: Ferndale Avenue / ACE0422377 / E17 9EE","SPO","15/04/2026 00:00:00","06/05/2026 00:00:00",,"Submitted",,,6563503
"GB-LCL-A0829","[GB-LCL-A0829] Redbridge: Hamilton Avenue / ACE0422803 / IG6 1AA","SPO","15/04/2026 00:00:00","06/05/2026 00:00:00",,"Submitted",,,6563504
"GB-LCL-A0818","[GB-LCL-A0818] Redbridge: Hampton Road / Side 137 of Richmond Road / ACE0422852 / IG1 1JT","SPO","15/04/2026 00:00:00","06/05/2026 00:00:00",,"Submitted",,,6563505
