Site Ref,Site Name,Description,Customer,Postcode,Town,Latitude,Longitude
GB-LCL-A0429,[GB-LCL-A0429] Hammersmith & Fulham: 92 Hurlingham Road / ACE0261293 / SW6 3NR,Alfen 22kW,Believ (EV),SW6 3NR,Hammersmith & Fulham,51.47025242,-0.20442469
GB-LCL-A0431,[GB-LCL-A0431] Waltham Forest: The Drive / ACE0261299 / E17 3BN,Alfen 22kW,Believ (EV),E17 3BN,Waltham Forest,51.587626,-0.01276
GB-LCL-A0432,[GB-LCL-A0432] Waltham Forest: Forster Road / ACE0261284 / E17 8AU,Alfen 22kW,Believ (EV),E17 8AU,Waltham Forest,51.57751,-0.035503
GB-LCL-A0433,[GB-LCL-A0433] Waltham Forest: Forster Road / ACE0261310 / E17 8AU,Alfen 22kW,Believ (EV),E17 8AU,Waltham Forest,51.57751,-0.035503
GB-LCL-A0434,[GB-LCL-A0434] Waltham Forest: Gillards Way / ACE0261285 / E17 7BH,Alfen 22kW,Believ (EV),E17 7BH,Waltham Forest,51.584584,-0.022656
GB-LCL-A0435,[GB-LCL-A0435] Waltham Forest: Gillards Way / ACE0261309 / E17 7BH,Alfen 22kW,Believ (EV),E17 7BH,Waltham Forest,51.584584,-0.022656
GB-LCL-A0436,[GB-LCL-A0436] Waltham Forest: Malvern Road / ACE0261288,Alfen 22kW,Believ (EV),E11 3DL,Waltham Forest,51.562747,0.01337
GB-LCL-A0437,[GB-LCL-A0437] Waltham Forest: Winns Avenue / ACE0261323 / E17 5LP,Alfen 22kW,Believ (EV),E17 5LP,Waltham Forest,51.591011,-0.03128
GB-LCL-A0438,[GB-LCL-A0438] Waltham Forest: Winns Avenue / ACE0261312 / E17 5LP,Alfen 22kW,Believ (EV),E17 5LP,Waltham Forest,51.591011,-0.03128
GB-LCL-A0441,[GB-LCL-A0441] Waltham Forest: Sutton Road / ACE0261308 / E17 5QA,Alfen 22kW,Believ (EV),E17 5QA,Waltham Forest,51.5986667,-0.0381944
GB-LCL-A0442,[GB-LCL-A0442] Waltham Forest: Sutton Road / ACE0261290 / E17 5QA,Alfen 22kW,Believ (EV),E17 5QA,Waltham Forest,51.5986667,-0.0381944
GB-LCL-A0444,[GB-LCL-A0444] Waltham Forest: Jesse Road / ACE0189165 / E10 6NN,Alfen 22kW,Believ (EV),E10 6NN,Waltham Forest,51.565982,-0.010058
GB-LCL-A0445,[GB-LCL-A0445] Waltham Forest: Hale End Road / ACE0189175 / E17 4DJ,Alfen 22kW,Believ (EV),E17 4DJ,Waltham Forest,51.595946,-0.001061
GB-LCL-A0446,[GB-LCL-A0446] Waltham Forest: Hale End Road / ACE0189183 / E17 4DJ,Alfen 22kW,Believ (EV),E17 4DJ,Waltham Forest,51.595946,-0.001061
GB-LCL-A0447,[GB-LCL-A0447] Waltham Forest: Greenleaf Road / ACE0189185 / E17 6QQ,Alfen 22kW,Believ (EV),E17 6QQ,Waltham Forest,51.587615,-0.021476
GB-LCL-A0448,[GB-LCL-A0448] Canterbury Road,Alfen 22kW,Believ (EV),E10 6EE,Waltham Forest,51.573077,-0.007731
GB-LCL-A0448,[GB-LCL-A0448] Waltham Forest: Canterbury Road,Alfen 22kW,Believ (EV),E10 6EE,Waltham Forest,51.573077,-0.007731
GB-LCL-A0448,[GB-LCL-A0448] Waltham Forest: Canterbury Road / ACE0189186 / E10 6EE,Alfen 22kW,Believ (EV),E10 6EE,Waltham Forest,51.573077,-0.007731
GB-LCL-A0449,[GB-LCL-A0449] Wandsworth: Shellwood Road / ACE0261252 / SW11 5BJ,Alfen 22kW,Believ (EV),SW11 5BJ,Wandsworth,51.469585,-0.161814
GB-LCL-A0450,[GB-LCL-A0450] Wandsworth: Shellwood Road / ACE0261262 / SW11 5BJ,Alfen 22kW,Believ (EV),SW11 5BJ,Wandsworth,51.469585,-0.161814
GB-LCL-A0451,[GB-LCL-A0451] Avarn Road,Alfen 22kW,Believ (EV),SW17 9HA,Wandsworth,51.422602,-0.163455
GB-LCL-A0451,[GB-LCL-A0451] Avarn Road,Alfen 22kW,Believ (EV),SW17 9HA,Wandsworth,51.422602,-0.163455
GB-LCL-A0451,[GB-LCL-A0451] Wandsworth: Avarn Road,Alfen 22kW,Believ (EV),SW17 9HA,Wandsworth,51.422602,-0.163455
GB-LCL-A0452,[GB-LCL-A0452] Avarn Road,Alfen 22kW,Believ (EV),SW17 9HA,Wandsworth,51.422602,-0.163455
GB-LCL-A0452,[GB-LCL-A0452] Avarn Road,Alfen 22kW,Believ (EV),SW17 9HA,Wandsworth,51.422602,-0.163455
GB-LCL-A0452,[GB-LCL-A0452] Wandsworth: Avarn Road,Alfen 22kW,Believ (EV),SW17 9HA,Wandsworth,51.422602,-0.163455
GB-LCL-A0453,[GB-LCL-A0453] Wandsworth: Stella Road / ACE0261261 / SW17 9HG,Alfen 22kW,Believ (EV),SW17 9HG,Wandsworth,51.422255,-0.16048
GB-LCL-A0454,[GB-LCL-A0454] Wandsworth: Stella Road / ACE0261273 / SW17 9HG,Alfen 22kW,Believ (EV),SW17 9HG,Wandsworth,51.422255,-0.16048
GB-LCL-A0455,[GB-LCL-A0455] Wandsworth: 240 Beechcroft Road / ACE0241522,Alfen 22kW,Believ (EV),SW17 7DF,Wandsworth,51.441724,-0.170775
GB-LCL-A0456,[GB-LCL-A0456] Wandsworth: 240 Beechcroft Road,Alfen 22kW,Believ (EV),SW17 7DF,Wandsworth,51.441724,-0.170775
GB-LCL-A0457,[GB-LCL-A0457] Croydon: 4 Stonecroft Way / ACE0189198 / CR0 3DH,Alfen 7kW,Believ (EV),CR0 3DH,Croydon,51.387601,-0.128244
GB-LCL-A0458,[GB-LCL-A0458] Croydon: Opp. 139 Bynes Road / ACE0189203 / CR2 0PS,Alfen 7kW,Believ (EV),CR2 0PS,Croydon,51.352185,-0.095552
GB-LCL-A0459,[GB-LCL-A0459] Wandsworth: Mayford Road / ACE0189184 / SW12 8RZ,Alfen 22kW,Believ (EV),SW12 8RZ,Wandsworth,51.447223,-0.161991
GB-LCL-A0460,[GB-LCL-A0460] Wandsworth: Esparto Street / ACE0189187 / SW18 4DL,Alfen 22kW,Believ (EV),SW18 4DL,Wandsworth,51.449652,-0.190538
GB-LCL-A0461,[GB-LCL-A0461] St. Saviours Road,Alfen 7kW,Believ (EV),CR0 2XF,Croydon,51.388089,-0.105069
GB-LCL-A0462,[GB-LCL-A0462] Croydon: 14 Beulah Crescent / ACE0165850 / CR7 8JL,Alfen 7kW,Believ (EV),CR7 8JL,Croydon,51.405812,-0.098406
GB-LCL-A0463,[GB-LCL-A0463] Croydon: 71 Birdhurst Rise / ACE0189207 / CR2 7EJ,Alfen 7kW,Believ (EV),CR2 7EJ,Croydon,51.362317,-0.090329
GB-LCL-A0464,[GB-LCL-A0464] Croydon: 58-54 Brook Road / ACE0189194 / CR7 7RT,Alfen 7kW,Believ (EV),CR7 7RT,Croydon,51.399661,-0.103842
GB-LCL-A0465,[GB-LCL-A0465] Croydon: Heath Road / ACE0189201 / CR7 8NF,Alfen 7kW,Believ (EV),CR7 8NF,Croydon,51.403225,-0.098232
GB-LCL-A0466,[GB-LCL-A0466] Croydon: 8 Sylvan Hill / ACE0189191 / SE19 2QE,Alfen 7kW,Believ (EV),SE19 2QE,Croydon,51.412703,-0.082173
GB-LCL-A0467,[GB-LCL-A0467] Croydon: 8 Sylvan Hill / ACE0189190 / SE19 2QE,Alfen 7kW,Believ (EV),SE19 2QE,Croydon,51.412703,-0.082173
GB-LCL-A0468,[GB-LCL-A0468] Croydon: 134 Gibsons Hill / ACE0236395 / SW16 3EY,Alfen 7kW,Believ (EV),SW16 3EY,Croydon,51.42004,-0.10712
GB-LCL-A0469,[GB-LCL-A0469] Croydon: 134 Gibson's Hill / ACE0236129 / SW16 3EY,Alfen 7kW,Believ (EV),SW16 3EY,Croydon,51.42004,-0.10712
GB-LCL-A0470,[GB-LCL-A0470] Croydon: Brook Road,Alfen 7kW,Believ (EV),CR7 7RB,Croydon,51.397996,-0.102567
GB-LCL-A0470,[GB-LCL-A0470] Croydon: Brook Road / ACE0236130,Alfen 7kW,Believ (EV),CR7 7RB,Croydon,51.397996,-0.102567
GB-LCL-A0470,[GB-LCL-A0470] Croydon: Brook Road / ACE0236130 / CR7 7RB,Alfen 7kW,Believ (EV),CR7 7RB,Croydon,51.397996,-0.102567
GB-LCL-A0471,[GB-LCL-A0471] Croydon: Brook Road,Alfen 7kW,Believ (EV),CR7 7RB,Croydon,51.397996,-0.102567
GB-LCL-A0471,[GB-LCL-A0471] Croydon: Brook Road / ACE0236394 / CR7 7RB,Alfen 7kW,Believ (EV),CR7 7RB,Croydon,51.397996,-0.102567
GB-LCL-A0471,[GB-LCL-A0471] Croydon: Brook Road / Believ,Alfen 7kW,Believ (EV),CR7 7RB,Croydon,51.397996,-0.102567
GB-LCL-A0479,[GB-LCL-A0479] Waltham Forest: Hollydown Way / ACE0197287 / E11 4YD,Alfen 22kW,Believ (EV),E11 4YD,Waltham Forest,51.559649,0.002216
GB-LCL-A0480,"[GB-LCL-A0480] Waltham Forest: 15 Norman Rd, Leytonstone / ACE0166118 / E11 4PX",Alfen 22kW,Believ (EV),E11 4PX,Waltham Forest,51.56133,0.003007
GB-LCL-A0481,[GB-LCL-A0481] Waltham Forest: 1 Clyde Place / ACE0197276 / E10 5AS,Alfen 22kW,Believ (EV),E10 5AS,Waltham Forest,51.570592,-0.015553
GB-LCL-A0482,[GB-LCL-A0482] Waltham Forest: 61 Carnarvon Rd / ACE0197293 / E10 6DL,Alfen 22kW,Believ (EV),E10 6DL,Waltham Forest,51.579183,-0.003192
GB-LCL-A0483,[GB-LCL-A0483] 97 Nottingham Rd /  Leyton / London,Alfen 22kW,Believ (EV),E10 6EP,Waltham Forest,51.577547,-0.001398
GB-LCL-A0484,"[GB-LCL-A0484] 4 Farnan Ave, Walthamstow / London",Alfen 22kW,Believ (EV),E17 4NX,Waltham Forest,51.590249,-0.015412
GB-LCL-A0485,[GB-LCL-A0485] Waltham Forest: Opp 91 Marten Road / ACE0197231 / E17 4NL,Alfen 22kW,Believ (EV),E17 4NL,Waltham Forest,51.596735,-0.01659437
GB-LCL-A0486,[GB-LCL-A0486] Waltham Forest: Opp 2-14 Victoria Road / ACE0197288 / E17 4JU,Alfen 22kW,Believ (EV),E17 4JU,Waltham Forest,51.59411,-0.007646
GB-LCL-A0489,[GB-LCL-A0489] Ealing: Evelyn Grove / ACE0197258 / UB1 2BW,Alfen 22kW,Believ (EV),UB1 2BW,Ealing,51.517008,-0.375768
GB-LCL-A0490,[GB-LCL-A0490] Ealing: Evelyn Grove / ACE0189178 / UB1 2BW,Alfen 22kW,Believ (EV),UB1 2BW,Ealing,51.517008,-0.375768
GB-LCL-A0491,[GB-LCL-A0491] Ealing: Cranleigh Gardens / ACE0197263 / UB1 2BX,Alfen 22kW,Believ (EV),UB1 2BX,Ealing,51.520495,-0.377789
GB-LCL-A0492,[GB-LCL-A0492] Ealing: Cranleigh Gardens / ACE0189164 / UB1 2BX,Alfen 22kW,Believ (EV),UB1 2BX,Ealing,51.520495,-0.377789
GB-LCL-A0493,[GB-LCL-A0493] Ealing: Oswald Road / ACE0197248 / UB1 1HJ,Alfen 22kW,Believ (EV),UB1 1HJ,Ealing,51.50878,-0.382767
GB-LCL-A0494,[GB-LCL-A0494] Ealing: Oswald Road / ACE0197217 / UB1 1HJ,Alfen 22kW,Believ (EV),UB1 1HJ,Ealing,51.50878,-0.382767
GB-LCL-A0495,[GB-LCL-A0495] Ealing: 15 Carlton Road / ACE0422395 / W5 2AE,Alfen 22kW,Believ (EV),W5 2AE,Ealing,51.515099,-0.314065
GB-LCL-A0496,[GB-LCL-A0496] Ealing: 15 Carlton Road / ACE0422413 / W5 2AE,Alfen 22kW,Believ (EV),W5 2AE,Ealing,51.515099,-0.314065
GB-LCL-A0497,[GB-LCL-A0497] Ealing: Manor Court Road / Side of 91 Church Road,Alfen 22kW,Believ (EV),W7 3BH,Ealing,51.514503,-0.340061
GB-LCL-A0498,[GB-LCL-A0498] Ealing: Manor Court Road / Side of 91 Church Road,Alfen 22kW,Believ (EV),W7 3BH,Ealing,51.514503,-0.340061
GB-LCL-A0499,[GB-LCL-A0499] Ealing: 9 Princes Gardens / ACE0422408 / W3 0LX,Alfen 22kW,Believ (EV),W3 0LX,Ealing,51.518742,-0.281663
GB-LCL-A0500,[GB-LCL-A0500] Ealing: 9 Princes Gardens / ACE0422410 / W3 0LX,Alfen 22kW,Believ (EV),W3 0LX,Ealing,51.518742,-0.281663
GB-LCL-A0501,[GB-LCL-A0501] Ealing: Hale Gardens / ACE0422401 / W3 9ST,Alfen 22kW,Believ (EV),W3 9ST,Ealing,51.508954,-0.28307
GB-LCL-A0502,[GB-LCL-A0502] Ealing: Hale Gardens / ACE0422412 / W3 9ST,Alfen 22kW,Believ (EV),W3 9ST,Ealing,51.508954,-0.28307
GB-LCL-A0503,[GB-LCL-A0503] Ealing: Green Drive / ACE0422414 / UB1 3AY,Alfen 22kW,Believ (EV),UB1 3AY,Ealing,51.509081,-0.36652
GB-LCL-A0504,[GB-LCL-A0504] Ealing: Green Drive / ACE0422429 / UB1 3AY,Alfen 22kW,Believ (EV),UB1 3AY,Ealing,51.509081,-0.36652
GB-LCL-A0506,[GB-LCL-A0506] Ealing: Grange Road - Co-Build / ACE0422595 / UB1 1BY,Alfen 22kW,Believ (EV),UB1 1BY,Ealing,51.50694,-0.383816
GB-LCL-A0507,[GB-LCL-A0507] Ealing: Grange Road - Co-Build / ACE0422589 / UB1 1BY,Alfen 22kW,Believ (EV),UB1 1BY,Ealing,51.50694,-0.383816
GB-LCL-A0508,[GB-LCL-A0508] Ealing: 1 George Street / ACE0422590 / UB2 5PS,Alfen 22kW,Believ (EV),UB2 5PS,Ealing,51.497077,-0.385014
GB-LCL-A0509,[GB-LCL-A0509] Ealing: 1 George Street / ACE0197235 / UB2 5PS,Alfen 22kW,Believ (EV),UB2 5PS,Ealing,51.497077,-0.385014
GB-LCL-A0510,[GB-LCL-A0510] Ealing: Opp. 4 Arnold Road / ACE0197269 / UB5 5TB,,Believ (EV),UB5 5TB,Ealing,51.548564,-0.378822
GB-LCL-A0511,[GB-LCL-A0511] Ealing: Opp. 4 Arnold Road / ACE0422392 / UB5 5TB,Alfen 22kW,Believ (EV),UB5 5TB,Ealing,51.548564,-0.378822
GB-LCL-A0512,[GB-LCL-A0512] Wandsworth: Parkmead / ACE0158164 / SW15 5BS,Alfen 22kW,Believ (EV),SW15 5BS,Wandsworth,51.453566,-0.236409
GB-LCL-A0513,[GB-LCL-A0513] Wandsworth: Parkmead / ACE0158174 / SW15 5BS,Alfen 22kW,Believ (EV),SW15 5BS,Wandsworth,51.453566,-0.236409
GB-LCL-A0514,[GB-LCL-A0514] Wandsworth: 81 -82 Bullen Street / ACE0158148 / SW11 3HH,Alfen 22kW,Believ (EV),SW11 3HH,Wandsworth,51.472654,-0.169448
GB-LCL-A0515,[GB-LCL-A0515] Wandsworth: 81 -82 Bullen Street / ACE0158155 / SW11 3HH,Alfen 22kW,Believ (EV),SW11 3HH,Wandsworth,51.472654,-0.169448
GB-LCL-A0516,[GB-LCL-A0516] Campion Road,Alfen 22kW,Believ (EV),SW15 6NW,Wandsworth,51.459654,-0.228443
GB-LCL-A0516,[GB-LCL-A0516] Wandsworth: Campion Road,Alfen 22kW,Believ (EV),SW15 6NW,Wandsworth,51.459654,-0.228443
GB-LCL-A0516,[GB-LCL-A0516] Wandsworth: Campion Road / ACE0158165 / SW15 6NW,Alfen 22kW,Believ (EV),SW15 6NW,Wandsworth,51.459654,-0.228443
GB-LCL-A0517,[GB-LCL-A0517] Wandsworth: Campion Road,Alfen 22kW,Believ (EV),SW15 6NW,Wandsworth,51.459654,-0.228443
GB-LCL-A0517,[GB-LCL-A0517] Wandsworth: Campion Road / ACE0158153 / SW15 6NW,Alfen 22kW,Believ (EV),SW15 6NW,Wandsworth,51.459654,-0.228443
GB-LCL-A0517,[GB-LCL-A0517] Wandsworth: Campion Road / Believ,Alfen 22kW,Believ (EV),SW15 6NW,Wandsworth,51.459654,-0.228443
GB-LCL-A0518,[GB-LCL-A0518] Ashlone Road,Alfen 22kW,Believ (EV),SW15 1LR,Wandsworth,51.468493,-0.223481
GB-LCL-A0518,[GB-LCL-A0518] Wandsworth: Ashlone Road,Alfen 22kW,Believ (EV),SW15 1LR,Wandsworth,51.468493,-0.223481
GB-LCL-A0518,[GB-LCL-A0518] Wandsworth: Ashlone Road / ACE0158149 / SW15 1LR,Alfen 22kW,Believ (EV),SW15 1LR,Wandsworth,51.468493,-0.223481
GB-LCL-A0519,[GB-LCL-A0519] Wandsworth: Ashlone Road / ACE0158158,Alfen 22kW,Believ (EV),SW15 1LR,Wandsworth,51.468493,-0.223481
GB-LCL-A0519,[GB-LCL-A0519] Wandsworth: Ashlone Road / ACE0158158 / SW15 1LR,Alfen 22kW,Believ (EV),SW15 1LR,Wandsworth,51.468493,-0.223481
GB-LCL-A0521,[GB-LCL-A0521] Wandsworth: 27-42 Bessborough Road / ACE0158150 / SW15 4BN,Alfen 22kW,Believ (EV),SW15 4BN,Wandsworth,51.4458075,-0.2391163
GB-LCL-A0522,[GB-LCL-A0522] Wandsworth: 27-42 Bessborough Road / ACE0158170 / SW15 4BN,Alfen 22kW,Believ (EV),SW15 4BN,Wandsworth,51.4458075,-0.2391163
GB-LCL-A0523,[GB-LCL-A0523] Wandsworth: Wycliffe Road / ACE0158167 / SW11 5TD,Alfen 22kW,Believ (EV),SW11 5TD,Wandsworth,51.470234,-0.153256
GB-LCL-A0524,[GB-LCL-A0524] Wandsworth: Wycliffe Road / ACE0158175 / SW11 5TD,Alfen 22kW,Believ (EV),SW11 5TD,Wandsworth,51.470234,-0.153256
GB-LCL-A0525,[GB-LCL-A0525] Vyner Road,Alfen 22kW,Believ (EV),W3 7LZ,Ealing,51.512817,-0.259545
GB-LCL-A0526,[GB-LCL-A0526] Vyner Road,Alfen 22kW,Believ (EV),W3 7LZ,Ealing,51.512817,-0.259545
GB-LCL-A0527,[GB-LCL-A0527] Waltham Forest: 4 Shernhall Street / ACE0422586 / E17 3HN,Alfen 22kW,Believ (EV),E17 3HN,Waltham Forest,51.588751,-0.008164
GB-LCL-A0528,[GB-LCL-A0528] Waltham Forest: 4 Shernhall Street / ACE0422597 / E17 3HN,Alfen 22kW,Believ (EV),E17 3HN,Waltham Forest,51.588751,-0.008164
GB-LCL-A0529,[GB-LCL-A0529] Waltham Forest: 112 Bulwer Road / ACE0422599 / E11 1BQ,Alfen 22kW,Believ (EV),E11 1BQ,Waltham Forest,51.5693,0.003918
GB-LCL-A0530,[GB-LCL-A0530] Waltham Forest: 112 Bulwer Road / ACE0422592 / E11 1BQ,Alfen 22kW,Believ (EV),E11 1BQ,Waltham Forest,51.5693,0.003918
GB-LCL-A0532,[GB-LCL-A0532] Waltham Forest: Kimberely Road / Outside Sudeley Court / ACE0166176 / E17 5EE,Alfen 22kW,Believ (EV),E17 5EE,Waltham Forest,51.599845,-0.02806
GB-LCL-A0533,[GB-LCL-A0533] Blenheim Road,Alfen 22kW,Believ (EV),E15 1UF,Waltham Forest,51.553104,0.00927
GB-LCL-A0533,[GB-LCL-A0533] Waltham Forest: Blenheim Road,Alfen 22kW,Believ (EV),E15 1UF,Waltham Forest,51.553104,0.00927
GB-LCL-A0533,[GB-LCL-A0533] Waltham Forest: Blenheim Road / ACE0422588 / E15 1UF,Alfen 22kW,Believ (EV),E15 1UF,Waltham Forest,51.553104,0.00927
GB-LCL-A0534,[GB-LCL-A0534] Blenheim Road,Alfen 22kW,Believ (EV),E15 1UF,Waltham Forest,51.553104,0.00927
GB-LCL-A0534,[GB-LCL-A0534] Waltham Forest: Blenheim Road,Alfen 22kW,Believ (EV),E15 1UF,Waltham Forest,51.553104,0.00927
GB-LCL-A0534,[GB-LCL-A0534] Waltham Forest: Blenheim Road / ACE0422594 / E15 1UF,Alfen 22kW,Believ (EV),E15 1UF,Waltham Forest,51.553104,0.00927
GB-LCL-A0535,[GB-LCL-A0535] Waltham Forest: Stewart Road / ACE0422598 / E15 2BD,Alfen 22kW,Believ (EV),E15 2BD,Waltham Forest,51.553068,-0.000412
GB-LCL-A0536,[GB-LCL-A0536] Waltham Forest: York Road / Adjacent to 25 Lyttelton Road / ACE0197239 / E10 5NQ,Alfen 22kW,Believ (EV),E10 5NQ,Waltham Forest,51.559054,-0.010189
GB-LCL-A0537,[GB-LCL-A0537] Waltham Forest: Norlington Road / ACE0197291 / E10 6JZ,Alfen 22kW,Believ (EV),E10 6JZ,Waltham Forest,51.566915,-0.002256
GB-LCL-A0538,[GB-LCL-A0538] Waltham Forest: Seymour Court / ACE0197225 / E4 6DZ,Alfen 22kW,Believ (EV),E4 6DZ,Waltham Forest,51.62666,0.019284
GB-LCL-A0539,[GB-LCL-A0539] Waltham Forest: Seymour Court / ACE0261326 / E4 6DZ,Alfen 22kW,Believ (EV),E4 6DZ,Waltham Forest,51.62666,0.019284
GB-LCL-A0540,[GB-LCL-A0540] Badlis Road,Alfen 22kW,Believ (EV),E17 5LQ,Waltham Forest,51.592262,-0.023133
GB-LCL-A0540,[GB-LCL-A0540] Waltham Forest: Badlis Road,Alfen 22kW,Believ (EV),E17 5LQ,Waltham Forest,51.592262,-0.023133
GB-LCL-A0540,[GB-LCL-A0540] Waltham Forest: Badlis Road / ACE0197210 / E17 5LQ,Alfen 22kW,Believ (EV),E17 5LQ,Waltham Forest,51.592262,-0.023133
GB-LCL-A0541,[GB-LCL-A0541] Badlis Road,Alfen 22kW,Believ (EV),E17 5LQ,Waltham Forest,51.592262,-0.023133
GB-LCL-A0541,[GB-LCL-A0541] Waltham Forest: Badlis Road / ACE0422593 / E17 5LQ,Alfen 22kW,Believ (EV),E17 5LQ,Waltham Forest,51.592262,-0.023133
GB-LCL-A0542,[GB-LCL-A0542] Waltham Forest: Pretoria Avenue / ACE0422596 / E17 7DL,Alfen 22kW,Believ (EV),E17 7DL,Waltham Forest,51.584743,-0.034903
GB-LCL-A0543,[GB-LCL-A0543] Waltham Forest: Pretoria Avenue / ACE0422591 / E17 7DL,Alfen 22kW,Believ (EV),E17 7DL,Waltham Forest,51.584743,-0.034903
GB-LCL-A0544,[GB-LCL-A0544] Waltham Forest: Langthorne Road / ACE0197261 / E11 4HS,Alfen 22kW,Believ (EV),E11 4HS,Waltham Forest,51.556661,-0.002175
GB-LCL-A0545,[GB-LCL-A0545] Beachcroft Road,Alfen 22kW,Believ (EV),E11 3QJ,Waltham Forest,51.55939,0.010155
GB-LCL-A0545,[GB-LCL-A0545] Waltham Forest: Beachcroft Road,Alfen 22kW,Believ (EV),E11 3QJ,Waltham Forest,51.55939,0.010155
GB-LCL-A0545,[GB-LCL-A0545] Waltham Forest: Beachcroft Road / ACE0197272 / E11 3QJ,Alfen 22kW,Believ (EV),E11 3QJ,Waltham Forest,51.55939,0.010155
GB-LCL-A0546,[GB-LCL-A0546] Beachcroft Road,Alfen 22kW,Believ (EV),E11 3QJ,Waltham Forest,51.55939,0.010155
GB-LCL-A0546,[GB-LCL-A0546] Waltham Forest: Beachcroft Road / ACE0197290 / E11 3QJ,Alfen 22kW,Believ (EV),E11 3QJ,Waltham Forest,51.55939,0.010155
GB-LCL-A0546,[GB-LCL-A0546] Waltham Forest: Beachcroft Road / Believ,Alfen 22kW,Believ (EV),E11 3QJ,Waltham Forest,51.55939,0.010155
GB-LCL-A0547,[GB-LCL-A0547] Waltham Forest: Waterloo Road / Manor Road,Alfen 22kW,Believ (EV),E10 7HR,Waltham Forest,51.571274,-0.020494
GB-LCL-A0547,[GB-LCL-A0547] Waltham Forest: Waterloo Road / Manor Road / ACE0166117 / E10 7HR,Alfen 22kW,Believ (EV),E10 7HR,Waltham Forest,51.571274,-0.020494
GB-LCL-A0547,[GB-LCL-A0547] Waterloo Road  / Manor Road,Alfen 22kW,Believ (EV),E10 7HR,Waltham Forest,51.571274,-0.020494
GB-LCL-A0548,[GB-LCL-A0548] Waltham Forest: Waterloo Road / Manor Road,Alfen 22kW,Believ (EV),E10 7HR,Waltham Forest,51.571274,-0.020494
GB-LCL-A0548,[GB-LCL-A0548] Waltham Forest: Waterloo Road / Manor Road / ACE0197253 / E10 7HR,Alfen 22kW,Believ (EV),E10 7HR,Waltham Forest,51.571274,-0.020494
GB-LCL-A0548,[GB-LCL-A0548] Waterloo Road  / Manor Road,Alfen 22kW,Believ (EV),E10 7HR,Waltham Forest,51.571274,-0.020494
GB-LCL-A0549,[GB-LCL-A0549] Waltham Forest: Woodhouse Road / ACE0189180 / E11 3PD,Alfen 22kW,Believ (EV),E11 3PD,Waltham Forest,51.557094,0.013199
GB-LCL-A0550,[GB-LCL-A0550] Waltham Forest: Woodhouse Road / ACE0189177 / E11 3PD,Alfen 22kW,Believ (EV),E11 3PD,Waltham Forest,51.557094,0.013199
GB-LCL-A0551,[GB-LCL-A0551] Boardman Avenue,Alfen 22kW,Believ (EV),E4 7QD,Waltham Forest,51.646179,-0.010026
GB-LCL-A0551,[GB-LCL-A0551] Waltham Forest: Boardman Avenue,Alfen 22kW,Believ (EV),E4 7QD,Waltham Forest,51.646179,-0.010026
GB-LCL-A0551,[GB-LCL-A0551] Waltham Forest: Boardman Avenue / ACE0166132 / E4 7QD,Alfen 22kW,Believ (EV),E4 7QD,Waltham Forest,51.646179,-0.010026
GB-LCL-A0552,[GB-LCL-A0552] Waltham Forest: Fladgate Road / Adjacent 7 Forest Glade / ACE0197275 / E11 1LY,Alfen 22kW,Believ (EV),E11 1LY,Waltham Forest,51.576549,0.009884
GB-LCL-A0553,[GB-LCL-A0553] Waltham Forest: 39 Grosvenor Rise E / ACE0197247 / E17 9LA,Alfen 22kW,Believ (EV),E17 9LA,Waltham Forest,51.580555,-0.012395
GB-LCL-A0554,[GB-LCL-A0554] Waltham Forest: 39 Grosvenor Rise E / ACE0197289 / E17 9LA,Alfen 22kW,Believ (EV),E17 9LA,Waltham Forest,51.580555,-0.012395
GB-LCL-A0555,[GB-LCL-A0555] Waltham Forest: Opposite 125 Seymour Road / ACE0197250 / E10 7LZ,Alfen 22kW,Believ (EV),E10 7LZ,Waltham Forest,51.567053,-0.028026
GB-LCL-A0556,[GB-LCL-A0556] Waltham Forest: Opposite 125 Seymour Road / ACE0189319 / E10 7LZ,Alfen 22kW,Believ (EV),E10 7LZ,Waltham Forest,51.567053,-0.028026
GB-LCL-A0557,[GB-LCL-A0557] Waltham Forest: Trinity Close / ACE0197222 / E11 4GW,Alfen 22kW,Believ (EV),E11 4GW,Waltham Forest,51.562892,0.008459
GB-LCL-A0558,[GB-LCL-A0558] Ealing: 126 Horn Lane / ACE0197249 / W3 6PA,Alfen 22kW,Believ (EV),W3 6PA,Ealing,51.51355,-0.26967
GB-LCL-A0559,[GB-LCL-A0559] Ealing: 49-45 Hereford Road / ACE0197245 / W3 9JN,Alfen 22kW,Believ (EV),W3 9JN,Ealing,51.51469,-0.272981
GB-LCL-A0560,[GB-LCL-A0560] Ealing: 49-45 Hereford Road,Alfen 22kW,Believ (EV),W3 9JN,Ealing,51.51469,-0.272981
GB-LCL-A0561,[GB-LCL-A0561] Ealing: 67a Ashfield Road / ACE0422382 / W3 7HW,Alfen 22kW,Believ (EV),W3 7HW,Ealing,51.51004,-0.24646
GB-LCL-A0562,[GB-LCL-A0562] Ealing: 67a Ashfield Road / ACE0422361 / W3 7HW,Alfen 22kW,Believ (EV),W3 7HW,Ealing,51.51004,-0.24646
GB-LCL-A0563,[GB-LCL-A0563] Ealing: Lynton Road,Alfen 22kW,Believ (EV),W5 1EN,Ealing,51.51449,-0.28198
