Site Ref,Site Name,Description,Customer,Postcode,Town,Latitude,Longitude
GB-LCL-A0049,[GB-LCL-A0049] Croydon: 34-24 Elmgrove Road / ACE0136610 / CR0 7EP,Alfen 7kW,Believ (EV),CR0 7EP,Croydon,51.38225,-0.063906
GB-LCL-A0051,[GB-LCL-A0051] Hammersmith & Fulham: Woolneigh Street / ACE0158161 / SW6 3AX,Alfen 22kW,Believ (EV),SW6 3AX,Hammersmith & Fulham,51.469195,-0.19112863
GB-LCL-A0052,[GB-LCL-A0052] Hammersmith & Fulham: Delvino Road / ACE0158146 / SW6 4AF,Alfen 22kW,Believ (EV),SW6 4AF,Hammersmith & Fulham,51.47435761,-0.19781285
GB-LCL-A0053,[GB-LCL-A0053] Agate Road,Alfen 22kW,Believ (EV),W6 0AJ,Hammersmith & Fulham,51.49720553,-0.22817854
GB-LCL-A0054,[GB-LCL-A0054] Hammersmith & Fulham: 13-39 Rosedew Road / ACE0158587 / W6 9ET,Alfen 22kW,Believ (EV),W6 9ET,Hammersmith & Fulham,51.48490851,-0.22241888
GB-LCL-A0055,[GB-LCL-A0055] Brackenbury Gardens,Alfen 22kW,Believ (EV),W6 0BE,Hammersmith & Fulham,51.50043,-0.23210721
GB-LCL-A0056,[GB-LCL-A0056] Hammersmith & Fulham: 137 Sherbrooke Road / ACE0158159 / SW6 6BZ,Alfen 22kW,Believ (EV),SW6 6BZ,Hammersmith & Fulham,51.47981063,-0.21129232
GB-LCL-A0057,"[GB-LCL-A0057] Waltham Forest: Pretoria Road, Chingford / ACE0166145 / E4 7EL",Alfen 22kW,Believ (EV),E4 7EL,Waltham Forest,51.630024,0.000965
GB-LCL-A0060,[GB-LCL-A0060] Scotts Road,Alfen 22kW,Believ (EV),W12 8BQ,Hammersmith & Fulham,51.5028725,-0.232598
GB-LCL-A0062,[GB-LCL-A0062] Hammersmith & Fulham: Halford Road / ACE0197252 / SW6 1JY,Alfen 22kW,Believ (EV),SW6 1JY,Hammersmith & Fulham,51.48424554,-0.19709466
GB-LCL-A0063,[GB-LCL-A0063] Benbow Road (by Brackenbury Road),Alfen 22kW,Believ (EV),W6 0AU,Hammersmith & Fulham,51.499787,-0.23177192
GB-LCL-A0064,[GB-LCL-A0064] Hammersmith & Fulham: Cresford Road / ACE0158160 / SW6 2AH,Alfen 22kW,Believ (EV),SW6 2AH,Hammersmith & Fulham,51.475805,-0.191109
GB-LCL-A0065,[GB-LCL-A0065] Benbow Road (by Hammersmith Grove),Alfen 22kW,Believ (EV),W6 0NL,Hammersmith & Fulham,51.500338,-0.22837916
GB-LCL-A0066,[GB-LCL-A0066] Hammersmith & Fulham: Vereker Road / ACE0158586 / W14 9HA,Alfen 22kW,Believ (EV),W14 9HA,Hammersmith & Fulham,51.487622,-0.20820261
GB-LCL-A0067,[GB-LCL-A0067] Wandsworth: Nevis Road / ACE0158157 / SW17 7QL,Alfen 22kW,Believ (EV),SW17 7QL,Wandsworth,51.441063,-0.158523
GB-LCL-A0068,[GB-LCL-A0068] Wandsworth: Nevis Road / ACE0158163 / SW17 7QL,Alfen 22kW,Believ (EV),SW17 7QL,Wandsworth,51.441063,-0.158523
GB-LCL-A0069,[GB-LCL-A0069] Wandsworth: 2 Gatwick Road / ACE0158156 / SW18 5UE,Alfen 22kW,Believ (EV),SW18 5UE,Wandsworth,51.448242,-0.204169
GB-LCL-A0076,[GB-LCL-A0076] Wandsworth: 164 Longley Road / ACE0158147 / SW17 9LQ,Alfen 22kW,Believ (EV),SW17 9LQ,Wandsworth,51.420081,0.16243333
GB-LCL-A0077,[GB-LCL-A0077] Wandsworth: 164 Longley Road / ACE0158162 / SW17 9LQ,Alfen 22kW,Believ (EV),SW17 9LQ,Wandsworth,51.420081,0.16243333
GB-LCL-A0078,[GB-LCL-A0078] Wandsworth: Esmond Street / ACE0158151,Alfen 22kW,Believ (EV),SW15 2LG,Wandsworth,51.462307,-0.21112
GB-LCL-A0079,[GB-LCL-A0079] Wandsworth: Esmond Street / ACE0158154 / SW15 2LG,Alfen 22kW,Believ (EV),SW15 2LG,Wandsworth,51.462307,-0.21112
GB-LCL-A0082,[GB-LCL-A0082] Hammersmith & Fulham: Vespan Road / ACE0158169 / W12 9QP,Alfen 22kW,Believ (EV),W12 9QP,Hammersmith & Fulham,51.504067,-0.242238
GB-LCL-A0085,[GB-LCL-A0085] Croydon: 2 Haling Park Road / ACE0136589 / CR2 6NE,Alfen 7kW,Believ (EV),CR2 6NE,Croydon,51.357712,-0.098674
GB-LCL-A0086,[GB-LCL-A0086] Croydon: 2 Haling Park Road / ACE0136619 / CR2 6NE,Alfen 7kW,Believ (EV),CR2 6NE,Croydon,51.357712,-0.098674
